x1, y1, sigma1, angle1, t1_x, t1_y, theta1, x2, y2, sigma2, angle2, t2_x, t2_y, theta2
1529.73,101.371,1.15348e+07,100.068,1,5.18168,124.988,1564.06,109.658,7.40608e+06,100.637,1,5.18168,124.988
1540.31,101.165,1.0421e+07,105.106,1,5.18168,90.9004,1589.25,117.555,1.1797e+07,104.983,1,5.18168,90.9004
68.6877,357.823,6.0951e+06,87.9984,1,5.18168,113.626,104.019,1065.29,1.4423e+06,94.8054,1,2.61757,22.8056
35.792,1059.48,1.4615e+07,282.339,1,5.18168,170.438,133.781,1104.6,9.50298e+06,99.999,1,2.61757,22.8056
506.45,1509.17,3.47443e+06,82.0482,1,5.18168,79.5379,604.067,504.702,1.31735e+07,241.422,1,2.61757,22.8056
342.707,447.451,8.06118e+06,277.07,1,5.18168,68.1753,403.097,481.217,7.86483e+06,95.1452,1,5.18168,79.5379
680.303,445.844,1.31077e+07,67.6996,1,5.18168,79.5379,722.084,462.925,8.78234e+06,67.5201,1,5.18168,79.5379
74.2353,1058.86,1.03552e+07,108.331,1,2.61757,0,120.757,1078.52,7.14394e+06,110.137,1,2.61757,0
846.737,448.593,1.62537e+07,276.27,1,5.18168,113.626,654.116,1936.19,1.03557e+07,272.531,1,2.61757,0
619.494,110.002,1.02244e+07,341.123,1,1,0,1670.54,63.9514,1.20594e+07,257.992,1,2.61757,0
220.367,358.985,1.52054e+07,260.817,1,5.18168,68.1753,252.897,363.876,3.01491e+06,265.606,1,2.61757,45.6111
268.558,110.515,2.42534e+06,248.596,1,2.61757,91.2222,620.956,1968.32,8.12723e+06,86.1883,1,5.18168,90.9004
1005.79,499.378,5.96403e+06,101.727,1,5.18168,159.076,1059.8,527.313,1.2457e+06,106.514,1,5.18168,159.076
375.49,1062.45,1.30422e+07,103.89,1,2.61757,45.6111,318.741,907.38,1.0814e+07,100.947,1,5.18168,11.3626
245.83,693.664,1.38286e+07,259.242,1,2.61757,136.833,672.5,69.0507,1.27803e+07,109.094,1,2.61757,45.6111
369.522,690.064,1.27145e+07,101.971,1,5.18168,170.438,970.299,708.129,3.3431e+06,68.8853,1,5.18168,90.9004
